stock,open,high,low,close,timestamp
株F,991.17,1077.12,974.95,978.64,12:00:00.500
株G,361.19,419.91,338.66,348.12,12:00:01.000
株J,813.36,884.23,810.97,824.44,12:00:01.500
株B,713.55,787.08,687.42,705.61,12:00:02.000
株H,775.58,852.42,749.30,763.81,12:00:02.500
株D,589.13,659.72,582.29,594.51,12:00:03.000
株H,939.52,1029.27,916.49,935.08,12:00:03.500
株R,894.20,978.14,884.99,898.87,12:00:04.000
株J,396.96,492.92,361.57,365.25,12:00:04.500
株J,733.14,792.53,699.31,704.60,12:00:05.000
株Q,865.79,933.44,842.39,852.15,12:00:05.500
株S,517.44,588.26,513.67,530.80,12:00:06.000
株O,432.49,483.16,400.75,415.21,12:00:06.500
株G,758.01,828.28,717.73,736.59,12:00:07.000
株J,658.39,733.62,630.92,636.85,12:00:07.500
株K,675.17,744.21,629.77,637.23,12:00:08.000
株Y,697.51,783.09,655.81,665.16,12:00:08.500
株E,593.32,652.00,553.06,570.07,12:00:09.000
株R,701.52,787.74,669.85,683.76,12:00:09.500
株V,622.42,689.16,591.34,598.46,12:00:10.000
株Z,936.92,1031.02,911.58,916.09,12:00:10.500
株G,983.82,1041.05,976.84,983.27,12:00:11.000
株R,938.55,1003.74,900.11,902.83,12:00:11.500
株M,516.68,581.74,489.66,500.58,12:00:12.000
株X,945.79,1033.74,923.24,928.90,12:00:12.500
株F,490.14,544.03,486.29,491.45,12:00:13.000
株N,590.86,667.64,562.11,581.84,12:00:13.500
株O,590.52,681.51,574.69,586.61,12:00:14.000
株J,335.07,414.11,317.08,321.49,12:00:14.500
株J,893.19,959.63,871.26,882.82,12:00:15.000
株G,699.35,758.17,674.68,693.32,12:00:15.500
株B,872.74,925.17,870.12,875.52,12:00:16.000
株C,511.30,588.36,496.93,509.52,12:00:16.500
株I,801.17,865.41,791.46,794.54,12:00:17.000
株M,497.97,591.58,485.94,492.19,12:00:17.500
株X,371.88,452.87,357.69,362.75,12:00:18.000
株J,845.42,898.97,801.11,802.27,12:00:18.500
株K,967.92,1036.49,919.79,927.03,12:00:19.000
株B,550.97,648.86,547.76,553.83,12:00:19.500
株C,818.87,912.44,779.14,793.66,12:00:20.000
株N,746.58,843.78,744.29,764.29,12:00:20.500
株C,573.57,631.79,540.88,551.53,12:00:21.000
株W,699.03,752.70,676.16,684.17,12:00:21.500
株N,382.50,454.18,354.01,366.28,12:00:22.000
株T,810.51,862.73,806.84,821.31,12:00:22.500
株Y,444.18,506.03,426.51,444.78,12:00:23.000
株E,432.26,490.86,409.00,413.92,12:00:23.500
株U,339.55,402.54,301.80,321.36,12:00:24.000
株R,530.73,588.46,488.15,501.08,12:00:24.500
株P,899.36,990.21,855.01,860.49,12:00:25.000
株A,820.33,878.11,799.04,817.88,12:00:25.500
株J,361.26,437.40,347.66,358.73,12:00:26.000
株G,445.86,517.95,425.04,434.87,12:00:26.500
株R,450.35,534.59,417.32,434.06,12:00:27.000
株U,446.92,542.20,425.41,429.82,12:00:27.500
株R,445.00,513.12,438.25,452.39,12:00:28.000
株T,770.86,848.73,763.40,765.68,12:00:28.500
株I,664.17,729.11,642.82,651.28,12:00:29.000
株O,343.80,411.02,306.17,307.66,12:00:29.500
株I,745.39,801.83,695.59,706.20,12:00:30.000
株Q,447.58,511.85,402.57,416.76,12:00:30.500
株K,879.54,937.45,848.50,866.34,12:00:31.000
株B,661.38,722.66,614.20,633.40,12:00:31.500
株X,376.29,449.65,362.01,370.15,12:00:32.000
株X,546.08,615.75,529.30,541.82,12:00:32.500
株P,582.37,646.77,550.11,562.60,12:00:33.000
株T,921.50,976.87,897.50,908.09,12:00:33.500
株S,845.77,923.99,839.56,842.50,12:00:34.000
株Q,596.81,693.23,562.77,578.09,12:00:34.500
株T,622.64,693.62,621.09,631.85,12:00:35.000
株K,632.83,723.65,586.32,588.72,12:00:35.500
株L,742.60,792.96,734.71,736.72,12:00:36.000
株B,304.20,369.64,255.07,266.49,12:00:36.500
株L,990.36,1064.92,976.42,985.15,12:00:37.000
株P,630.68,689.21,587.10,588.48,12:00:37.500
